Provider,Beneficiaries_Count,Claims_Count,RenalDiseaseIndicator,ChronicCond_Alzheimer,ChronicCond_Heartfailure,ChronicCond_KidneyDisease,ChronicCond_Cancer,ChronicCond_ObstrPulmonary,ChronicCond_Depression,ChronicCond_Diabetes,ChronicCond_IschemicHeart,ChronicCond_Osteoporasis,ChronicCond_rheumatoidarthritis,ChronicCond_stroke,is_inpatient,is_dead,is_claimcode,is_groupcode,is_deductible,ClaimPeriod_greater_DaysAdmitted,IPAnnualReimbursementAmt,IPAnnualDeductibleAmt,OPAnnualReimbursementAmt,OPAnnualDeductibleAmt,InscClaimAmtReimbursed,DeductibleAmtPaid,Age,Days_Admitted,Diseases_Count,Total_Physicians,Total_ClaimCodes,Total_ProcedureCodes,Claim_Period,PotentialFraud
PRV51001,24,25,8,15,19,17,5,10,9,21,23,6,8,6,5,0,11,5,25,3,17606.0,897.12,2615.2,463.92,4185.6,213.6,78.28,1.0,5.56,1.6,3.2,0.12,1.44,0
PRV51003,117,132,29,56,80,64,10,41,54,100,112,33,38,12,62,1,78,62,132,12,7568.181818181818,931.4242424242424,2678.181818181818,737.1212121212121,4588.409090909091,502.1666666666667,69.5530303030303,2.4242424242424243,4.545454545454546,1.5303030303030303,5.25,0.36363636363636365,3.6742424242424243,1
PRV51004,138,149,23,64,88,50,16,41,63,105,108,49,46,17,0,1,28,0,149,21,4351.879194630873,434.9530201342282,2194.8993288590605,622.751677852349,350.13422818791946,2.0805369127516777,71.81208053691275,0.0,4.342281879194631,1.604026845637584,2.5838926174496644,0.0,1.429530201342282,0
PRV51005,495,1165,259,426,680,507,165,295,485,799,895,344,331,124,0,4,252,0,1165,124,3623.991416309013,379.16223175965666,2109.733905579399,636.3287553648069,241.1244635193133,3.1759656652360513,70.00085836909871,0.0,4.335622317596567,1.5991416309012876,2.5888412017167384,0.0,1.088412017167382,1
PRV51007,58,72,11,26,40,22,12,16,29,49,51,21,22,12,3,1,17,3,72,4,3050.0,445.0,1729.7222222222222,469.72222222222223,468.19444444444446,45.333333333333336,68.79166666666667,0.2222222222222222,4.166666666666667,1.5277777777777777,2.986111111111111,0.013888888888888888,0.9583333333333334,0
PRV51008,36,43,10,17,25,14,9,9,12,30,33,11,6,2,2,0,9,2,43,7,6592.093023255814,620.9302325581396,2570.4651162790697,616.046511627907,828.6046511627907,53.86046511627907,75.04651162790698,0.18604651162790697,3.9069767441860463,1.5348837209302326,3.1627906976744184,0.046511627906976744,1.5348837209302326,0
PRV51011,53,58,12,25,37,25,4,21,31,41,44,20,16,2,1,1,13,1,58,5,4414.827586206897,674.2758620689655,1399.3103448275863,366.7241379310345,286.7241379310345,23.586206896551722,73.86206896551724,0.08620689655172414,4.586206896551724,1.5689655172413792,2.5344827586206895,0.0,0.5517241379310345,0
PRV51012,31,48,7,18,26,22,6,21,19,35,38,17,17,3,0,0,17,0,48,15,6935.416666666667,839.9166666666666,3793.9583333333335,735.2083333333334,351.875,2.0833333333333335,74.02083333333333,0.0,4.625,1.4791666666666667,2.5625,0.0,3.7083333333333335,0
PRV51013,44,46,11,17,26,19,4,16,18,37,36,12,16,2,0,0,12,0,46,9,3635.6521739130435,593.304347826087,3226.521739130435,914.7826086956521,323.4782608695652,5.0,74.0,0.0,4.413043478260869,1.565217391304348,2.5434782608695654,0.0,1.4565217391304348,0
PRV51014,25,30,8,16,17,16,2,9,10,19,20,6,12,3,0,1,5,0,30,5,2786.3333333333335,427.2,1742.3333333333333,649.3333333333334,349.3333333333333,4.0,70.63333333333334,0.0,4.333333333333333,1.9666666666666666,3.6666666666666665,0.0,0.4666666666666667,0
